Gemeente,Naam van de lening
Aa en Hunze,Starterslening
Aalsmeer,Starterslening
Aalten,Starterslening
Alkmaar,Starterslening
Almelo,Starterslening
Alphen-Chaam,Starterslening
Altena,Starterslening
Ameland,Starterslening
Amersfoort,Starterslening
Amstelveen,Starterslening Amstelveen
Amsterdam,Starterslening voorheen Weesp
Assen,Starterslening
Asten,Starterslening
Baarle-Nassau,Starterslening
Baarn,Starterslening
Barendrecht,Starterslening
Barneveld,Starterslening
Beek,Starterslening
Beekdaelen,Starterslening
Beesel,SVn Starterslening
Berg en Dal,Starterslening
Bergen L,Starterslening
Bergen NH,SVn Starterslening
Bergen op Zoom,Starterslening
Berkelland,Starterslening
Bernheze,Starterslening
Best,Starterslening
Beuningen,Starterslening
Beverwijk,Starterslening
Bladel,Starterslening
Blaricum,Starterslening
Bloemendaal,Starterslening
Bodegraven-Reeuwijk,Starterslening
Boekel,Starterslening
Borger-Odoorn,Starterslening
Borne,Starterslening
Borsele,Starterslening
Breda,Starterslening NOM-Energieneutraal
Breda,Starterslening
Brielle,Starterslening
Bronckhorst,Starterslening
Brunssum,Starterslening
Buren,Starterslening
Capelle aan den IJssel,Starterslening
Castricum,Starterslening
Dalfsen,Starterslening
Dantumadiel,Starterslening
De Fryske Marren,Corporatie Starterslening
De Ronde Venen,Starterslening
Delft,Starterslening
Den Helder,SVn Starterslening gemeente Den Helder
Den Helder,SVn Starterslening
Den Helder,Corporatie Starterslening
Diemen,Starterslening
Dinkelland,Starterslening
Doesburg,Starterslening
Doetinchem,Starterslening
Dongen,Starterslening
Dongen,Corporatie Starterslening
Dordrecht,Starterslening Dordrecht
Drechterland,Starterslening
Drimmelen,Starterslening
Dronten,Corporatie Starterslening
Druten,Starterslening
Echt-Susteren,Starterslening
Eemnes,Starterslening
Eemsdelta,Starterslening
Eijsden-Margraten,Starterslening
Elburg,Starterslening
Enkhuizen,SVn Starterslening
Epe,Starterslening Reguliere woningen
Epe,Starterslening Nul op de Meter woningen
Ermelo,Starterslening
Etten-Leur,Starterslening
Geertruidenberg,Starterslening
Geldrop-Mierlo,Starterslening
Gennep,Starterslening Corporatie woningen
Gennep,Starterslening
Gilze en Rijen,Starterslening
Goeree-Overflakkee,Starterslening
Goes,Starterslening
Goirle,Starterslening
Gooise Meren,Starterslening
Gorinchem,Starterslening
Gouda,Starterslening
Gulpen-Wittem,Starterslening
Haarlem,Starterslening
