municipality;state;partOfCountry;loan
Aa en Hunze;Drenthe;Noord-Nederland;Starterslening
Aalsmeer;Noord-Holland;West-Nederland;Starterslening
Aalten;Gelderland;Oost-Nederland;Starterslening
Alkmaar;Noord-Holland;West-Nederland;Starterslening
Almelo;Overijssel;Oost-Nederland;Starterslening
Alphen-Chaam;Noord-Brabant;Zuid-Nederland;Starterslening
Altena;Noord-Brabant;Zuid-Nederland;Starterslening
Ameland;Fryslân;Noord-Nederland;Starterslening
Amersfoort;Utrecht;West-Nederland;Starterslening
Amstelveen;Noord-Holland;West-Nederland;Starterslening Amstelveen
Amsterdam;Noord-Holland;West-Nederland;Starterslening voorheen Weesp
Assen;Drenthe;Noord-Nederland;Starterslening
Asten;Noord-Brabant;Zuid-Nederland;Starterslening
Baarle-Nassau;Noord-Brabant;Zuid-Nederland;Starterslening
Baarn;Utrecht;West-Nederland;Starterslening
Barendrecht;Zuid-Holland;West-Nederland;Starterslening
Barneveld;Gelderland;Oost-Nederland;Starterslening
Beekdaelen;Limburg;Zuid-Nederland;Starterslening
Beesel;Limburg;Zuid-Nederland;SVn Starterslening
Berg en Dal;Gelderland;Oost-Nederland;Starterslening
Bergen op Zoom;Noord-Brabant;Zuid-Nederland;Starterslening
Berkelland;Gelderland;Oost-Nederland;Starterslening
Bernheze;Noord-Brabant;Zuid-Nederland;Starterslening
Best;Noord-Brabant;Zuid-Nederland;Starterslening
Beuningen;Gelderland;Oost-Nederland;Starterslening
Beverwijk;Noord-Holland;West-Nederland;Starterslening
Bladel;Noord-Brabant;Zuid-Nederland;Starterslening
Blaricum;Noord-Holland;West-Nederland;Starterslening
Bloemendaal;Noord-Holland;West-Nederland;Starterslening
Bodegraven-Reeuwijk;Zuid-Holland;West-Nederland;Starterslening
Boekel;Noord-Brabant;Zuid-Nederland;Starterslening
Borger-Odoorn;Drenthe;Noord-Nederland;Starterslening
Borne;Overijssel;Oost-Nederland;Starterslening
Borsele;Zeeland;West-Nederland;Starterslening
Breda;Noord-Brabant;Zuid-Nederland;Starterslening NOM-Energieneutraal
Breda;Noord-Brabant;Zuid-Nederland;Starterslening
Bronckhorst;Gelderland;Oost-Nederland;Starterslening
Brunssum;Limburg;Zuid-Nederland;Starterslening
Buren;Gelderland;Oost-Nederland;Starterslening
Capelle aan den IJssel;Zuid-Holland;West-Nederland;Starterslening
Castricum;Noord-Holland;West-Nederland;Starterslening
Dalfsen;Overijssel;Oost-Nederland;Starterslening
Dantumadiel;Fryslân;Noord-Nederland;Starterslening
De Fryske Marren;Fryslân;Noord-Nederland;Corporatie Starterslening
De Ronde Venen;Utrecht;West-Nederland;Starterslening
Delft;Zuid-Holland;West-Nederland;Starterslening
Den Helder;Noord-Holland;West-Nederland;SVn Starterslening gemeente Den Helder
Den Helder;Noord-Holland;West-Nederland;SVn Starterslening
Den Helder;Noord-Holland;West-Nederland;Corporatie Starterslening
Diemen;Noord-Holland;West-Nederland;Starterslening
Dinkelland;Overijssel;Oost-Nederland;Starterslening
Doesburg;Gelderland;Oost-Nederland;Starterslening
Doetinchem;Gelderland;Oost-Nederland;Starterslening
Dongen;Noord-Brabant;Zuid-Nederland;Starterslening
Dongen;Noord-Brabant;Zuid-Nederland;Corporatie Starterslening
Dordrecht;Zuid-Holland;West-Nederland;Starterslening Dordrecht
Drechterland;Noord-Holland;West-Nederland;Starterslening
Drimmelen;Noord-Brabant;Zuid-Nederland;Starterslening
Dronten;Flevoland;Oost-Nederland;Corporatie Starterslening
Druten;Gelderland;Oost-Nederland;Starterslening
Echt-Susteren;Limburg;Zuid-Nederland;Starterslening
Eemnes;Utrecht;West-Nederland;Starterslening
Eemsdelta;Groningen;Noord-Nederland;Starterslening
Eijsden-Margraten;Limburg;Zuid-Nederland;Starterslening
Elburg;Gelderland;Oost-Nederland;Starterslening
Enkhuizen;Noord-Holland;West-Nederland;SVn Starterslening
Epe;Gelderland;Oost-Nederland;Starterslening Reguliere woningen
Epe;Gelderland;Oost-Nederland;Starterslening Nul op de Meter woningen
Ermelo;Gelderland;Oost-Nederland;Starterslening
Etten-Leur;Noord-Brabant;Zuid-Nederland;Starterslening
Geertruidenberg;Noord-Brabant;Zuid-Nederland;Starterslening
Geldrop-Mierlo;Noord-Brabant;Zuid-Nederland;Starterslening
Gennep;Limburg;Zuid-Nederland;Starterslening Corporatie woningen
Gennep;Limburg;Zuid-Nederland;Starterslening
Gilze en Rijen;Noord-Brabant;Zuid-Nederland;Starterslening
Goeree-Overflakkee;Zuid-Holland;West-Nederland;Starterslening
Goes;Zeeland;West-Nederland;Starterslening
Goirle;Noord-Brabant;Zuid-Nederland;Starterslening
Gooise Meren;Noord-Holland;West-Nederland;Starterslening
Gorinchem;Zuid-Holland;West-Nederland;Starterslening
Gouda;Zuid-Holland;West-Nederland;Starterslening
Gulpen-Wittem;Limburg;Zuid-Nederland;Starterslening
Haarlem;Noord-Holland;West-Nederland;Starterslening
Haarlemmermeer;Noord-Holland;West-Nederland;SVn Starterslening Hydepark
Haarlemmermeer;Noord-Holland;West-Nederland;Starterslening Nieuwbouw
Haarlemmermeer;Noord-Holland;West-Nederland;Starterslening Nassaupark de Vrijheid
Haarlemmermeer;Noord-Holland;West-Nederland;Starterslening Bestaande bouw
Haarlemmermeer;Noord-Holland;West-Nederland;Starterslening
Halderberge;Noord-Brabant;Zuid-Nederland;Starterslening
Harderwijk;Gelderland;Oost-Nederland;Starterslening met Duokoop
Harderwijk;Gelderland;Oost-Nederland;Starterslening
Heemskerk;Noord-Holland;West-Nederland;Starterslening
Heemstede;Noord-Holland;West-Nederland;Starterslening
Heerde;Gelderland;Oost-Nederland;Starterslening
Heerenveen;Fryslân;Noord-Nederland;Corporatie Starterslening
Heerlen;Limburg;Zuid-Nederland;Starterslening
Heeze-Leende;Noord-Brabant;Zuid-Nederland;Starterslening
Helmond;Noord-Brabant;Zuid-Nederland;Starterslening
Het Hogeland;Groningen;Noord-Nederland;Starterslening
Heumen;Gelderland;Oost-Nederland;Starterslening
Hillegom;Zuid-Holland;West-Nederland;Starterslening
Hilvarenbeek;Noord-Brabant;Zuid-Nederland;Starterslening
Hoeksche Waard;Zuid-Holland;West-Nederland;SVn Starterslening
Hof van Twente;Overijssel;Oost-Nederland;Starterslening zonder EBV
Hof van Twente;Overijssel;Oost-Nederland;Starterslening met EBV
Hollands Kroon;Noord-Holland;West-Nederland;Starterslening
Hoogeveen;Drenthe;Noord-Nederland;Starterslening
Hoorn;Noord-Holland;West-Nederland;Starterslening woning vanaf € 250.001
Hoorn;Noord-Holland;West-Nederland;Starterslening woning tot € 250.000
Hoorn;Noord-Holland;West-Nederland;Starterslening met Duokoop
Horst aan de Maas;Limburg;Zuid-Nederland;Starterslening
Huizen;Noord-Holland;West-Nederland;Starterslening
IJsselstein;Utrecht;West-Nederland;Starterslening
Kaag en Braassem;Zuid-Holland;West-Nederland;Starterslening
Kampen;Overijssel;Oost-Nederland;Starterslening Kampen
Kapelle;Zeeland;West-Nederland;Starterslening
Katwijk;Zuid-Holland;West-Nederland;Starterslening
Kerkrade;Limburg;Zuid-Nederland;Starterslening
Koggenland;Noord-Holland;West-Nederland;Starterslening
Krimpen aan den IJssel;Zuid-Holland;West-Nederland;Starterslening
Krimpenerwaard;Zuid-Holland;West-Nederland;Starterslening
Laarbeek;Noord-Brabant;Zuid-Nederland;Starterslening
Land van Cuijk;Noord-Brabant;Zuid-Nederland;Starterslening
Landgraaf;Limburg;Zuid-Nederland;Starterslening
Landsmeer;Noord-Holland;West-Nederland;Starterslening
Lansingerland;Zuid-Holland;West-Nederland;Starterslening
Lelystad;Flevoland;Oost-Nederland;Starterslening
Leudal;Limburg;Zuid-Nederland;SVn Starterslening
Lingewaard;Gelderland;Oost-Nederland;Starterslening
Lisse;Zuid-Holland;West-Nederland;Starterslening
Lochem;Gelderland;Oost-Nederland;Starterslening
Loon op Zand;Noord-Brabant;Zuid-Nederland;Corporatie Starterslening
Lopik;Utrecht;West-Nederland;Starterslening Nieuwbouw
Lopik;Utrecht;West-Nederland;Starterslening Bestaande bouw
Losser;Overijssel;Oost-Nederland;Starterslening
Maasdriel;Gelderland;Oost-Nederland;Starterslening
Maasgouw;Limburg;Zuid-Nederland;Starterslening
Maashorst;Noord-Brabant;Zuid-Nederland;Starterslening voorheen Uden
Maashorst;Noord-Brabant;Zuid-Nederland;Starterslening voorheen Landerd
Maassluis;Zuid-Holland;West-Nederland;Starterslening
Maastricht;Limburg;Zuid-Nederland;Starterslening
Medemblik;Noord-Holland;West-Nederland;Starterslening
Meerssen;Limburg;Zuid-Nederland;Starterslening
Meppel;Drenthe;Noord-Nederland;Starterslening
Midden-Drenthe;Drenthe;Noord-Nederland;Starterslening
Midden-Groningen;Groningen;Noord-Nederland;Starterslening
Moerdijk;Noord-Brabant;Zuid-Nederland;Starterslening
Molenlanden;Zuid-Holland;West-Nederland;Starterslening
Montferland;Gelderland;Oost-Nederland;Starterslening
Mook en Middelaar;Limburg;Zuid-Nederland;Starterslening
Nederweert;Limburg;Zuid-Nederland;SVn Starterslening
Nieuwegein;Utrecht;West-Nederland;Starterslening
Nieuwkoop;Zuid-Holland;West-Nederland;Starterslening
Nijkerk;Gelderland;Oost-Nederland;Starterslening
Nijmegen;Gelderland;Oost-Nederland;Starterslening
Nissewaard;Zuid-Holland;West-Nederland;Starterslening
Noardeast-Fryslân;Fryslân;Noord-Nederland;Starterslening 2021
Noord-Beveland;Zeeland;West-Nederland;Starterslening
Noordenveld;Drenthe;Noord-Nederland;Starterslening
Noordoostpolder;Flevoland;Oost-Nederland;Starterslening
Noordwijk;Zuid-Holland;West-Nederland;Starterslening
Nuenen, Gerwen en Nederwetten;Noord-Brabant;Zuid-Nederland;Starterslening
Nunspeet;Gelderland;Oost-Nederland;Starterslening
Oegstgeest;Zuid-Holland;West-Nederland;Starterslening
Oisterwijk;Noord-Brabant;Zuid-Nederland;Starterslening
Oldambt;Groningen;Noord-Nederland;Starterslening
Oldebroek;Gelderland;Oost-Nederland;Starterslening
Oldenzaal;Overijssel;Oost-Nederland;Starterslening
Olst-Wijhe;Overijssel;Oost-Nederland;SVn Starterslening Energielabel A
